index,Province/State,Country/Region,Lat,Long,Region,lat_long,Casos totales 
105,,Dominican Republic,18.7357,-70.1627, Dominican Republic,"18.7357,-70.1627",120925
106,,Ecuador,-1.8312,-78.1834, Ecuador,"-1.8312,-78.1834",152422
107,,Egypt,26.820553,30.802498, Egypt,"26.820553,30.802498",105297
108,,El Salvador,13.7942,-88.8965, El Salvador,"13.7942,-88.8965",31456
109,,Equatorial Guinea,1.6508,10.2679, Equatorial Guinea,"1.6508,10.2679",5070
110,,Eritrea,15.1794,39.7823, Eritrea,"15.1794,39.7823",452
111,,Estonia,58.5953,25.0136, Estonia,"58.5953,25.0136",4052
112,,Eswatini,-26.5225,31.4659, Eswatini,"-26.5225,31.4659",5765
113,,Ethiopia,9.145,40.4897, Ethiopia,"9.145,40.4897",88434
114,,Fiji,-17.7134,178.065, Fiji,"-17.7134,178.065",32
115,,Finland,61.92411,25.748151, Finland,"61.92411,25.748151",13293
116,French Guiana,France,3.9339,-53.1258,French Guiana France,"3.9339,-53.1258",10243
117,French Polynesia,France,-17.6797,149.4068,French Polynesia France,"-17.6797,149.4068",3797
118,Guadeloupe,France,16.265,-61.551,Guadeloupe France,"16.265,-61.551",7122
119,Martinique,France,14.6415,-61.0242,Martinique France,"14.6415,-61.0242",2257
120,Mayotte,France,-12.8275,45.166244,Mayotte France,"-12.8275,45.166244",4030
121,New Caledonia,France,-20.904305,165.618042,New Caledonia France,"-20.904305,165.618042",27
122,Reunion,France,-21.1151,55.5364,Reunion France,"-21.1151,55.5364",4776
123,Saint Barthelemy,France,17.9,-62.8333,Saint Barthelemy France,"17.9,-62.8333",72
124,Saint Pierre and Miquelon,France,46.8852,-56.3159,Saint Pierre and Miquelon France,"46.8852,-56.3159",16
125,St Martin,France,18.0708,-63.0501,St Martin France,"18.0708,-63.0501",531
126,,France,46.2276,2.2137, France,"46.2276,2.2137",843471
127,,Gabon,-0.8037,11.6094, Gabon,"-0.8037,11.6094",8881
128,,Gambia,13.4432,-15.3101, Gambia,"13.4432,-15.3101",3649
129,,Georgia,42.3154,43.3569, Georgia,"42.3154,43.3569",16285
130,,Germany,51.165691,10.451526, Germany,"51.165691,10.451526",364664
131,,Ghana,7.9465,-1.0232, Ghana,"7.9465,-1.0232",47232
132,,Greece,39.0742,21.8243, Greece,"39.0742,21.8243",24932
133,,Grenada,12.1165,-61.679, Grenada,"12.1165,-61.679",27
134,,Guatemala,15.7835,-90.2308, Guatemala,"15.7835,-90.2308",101028
135,,Guinea,9.9456,-9.6966, Guinea,"9.9456,-9.6966",11478
136,,Guinea-Bissau,11.8037,-15.1804, Guinea-Bissau,"11.8037,-15.1804",2389
137,,Guyana,4.860416000000002,-58.93018000000001, Guyana,"4.860416000000002,-58.93018000000001",3710
138,,Haiti,18.9712,-72.2852, Haiti,"18.9712,-72.2852",8956
139,,Holy See,41.9029,12.4534, Holy See,"41.9029,12.4534",27
140,,Honduras,15.2,-86.2419, Honduras,"15.2,-86.2419",87594
141,,Hungary,47.1625,19.5033, Hungary,"47.1625,19.5033",44816
142,,Iceland,64.9631,-19.0208, Iceland,"64.9631,-19.0208",3998
143,,India,20.593684,78.96288, India,"20.593684,78.96288",7494551
144,,Indonesia,-0.7893,113.9213, Indonesia,"-0.7893,113.9213",357762
145,,Iran,32.427908,53.68804599999999, Iran,"32.427908,53.68804599999999",526490
146,,Iraq,33.223191,43.679291, Iraq,"33.223191,43.679291",423524
147,,Ireland,53.1424,-7.6921, Ireland,"53.1424,-7.6921",48678
148,,Israel,31.046051,34.851612, Israel,"31.046051,34.851612",302770
149,,Italy,41.87194,12.56738, Italy,"41.87194,12.56738",402536
150,,Jamaica,18.1096,-77.2975, Jamaica,"18.1096,-77.2975",8195
151,,Japan,36.204824,138.252924, Japan,"36.204824,138.252924",92670
152,,Jordan,31.24,36.51, Jordan,"31.24,36.51",36053
153,,Kazakhstan,48.0196,66.9237, Kazakhstan,"48.0196,66.9237",109406
154,,Kenya,-0.0236,37.9062, Kenya,"-0.0236,37.9062",44196
155,,"Korea, South",35.90775700000001,127.766922," Korea, South","35.90775700000001,127.766922",25199
156,,Kosovo,42.602636,20.902977, Kosovo,"42.602636,20.902977",16606
157,,Kuwait,29.31166,47.481766, Kuwait,"29.31166,47.481766",115483
158,,Kyrgyzstan,41.20438,74.766098, Kyrgyzstan,"41.20438,74.766098",51490
159,,Laos,19.85627,102.495496, Laos,"19.85627,102.495496",23
160,,Latvia,56.8796,24.6032, Latvia,"56.8796,24.6032",3392
161,,Lebanon,33.8547,35.8623, Lebanon,"33.8547,35.8623",61284
162,,Lesotho,-29.61,28.2336, Lesotho,"-29.61,28.2336",1833
163,,Liberia,6.428055000000001,-9.429499, Liberia,"6.428055000000001,-9.429499",1377
164,,Libya,26.3351,17.228331, Libya,"26.3351,17.228331",47845
165,,Liechtenstein,47.14,9.55, Liechtenstein,"47.14,9.55",217
166,,Lithuania,55.1694,23.8813, Lithuania,"55.1694,23.8813",7269
167,,Luxembourg,49.8153,6.1296, Luxembourg,"49.8153,6.1296",10471
168,,MS Zaandam,0.0,0.0, MS Zaandam,"0.0,0.0",9
169,,Madagascar,-18.766947,46.869107, Madagascar,"-18.766947,46.869107",16810
170,,Malawi,-13.2543,34.3015, Malawi,"-13.2543,34.3015",5852
171,,Malaysia,4.210483999999999,101.975766, Malaysia,"4.210483999999999,101.975766",19627
172,,Maldives,3.2028,73.2207, Maldives,"3.2028,73.2207",11178
173,,Mali,17.570692,-3.996166000000001, Mali,"17.570692,-3.996166000000001",3379
174,,Malta,35.9375,14.3754, Malta,"35.9375,14.3754",4486
175,,Mauritania,21.0079,-10.9408, Mauritania,"21.0079,-10.9408",7607
176,,Mauritius,-20.348404,57.552152, Mauritius,"-20.348404,57.552152",417
177,,Mexico,23.6345,-102.5528, Mexico,"23.6345,-102.5528",847108
178,,Moldova,47.4116,28.3699, Moldova,"47.4116,28.3699",66652
179,,Monaco,43.7333,7.4167, Monaco,"43.7333,7.4167",260
180,,Mongolia,46.8625,103.8467, Mongolia,"46.8625,103.8467",320
181,,Montenegro,42.70867800000001,19.37439, Montenegro,"42.70867800000001,19.37439",15427
182,,Morocco,31.7917,-7.0926, Morocco,"31.7917,-7.0926",170911
183,,Mozambique,-18.665695,35.529562, Mozambique,"-18.665695,35.529562",10707
184,,Namibia,-22.9576,18.4904, Namibia,"-22.9576,18.4904",12263
185,,Nepal,28.1667,84.25, Nepal,"28.1667,84.25",129304
186,Aruba,Netherlands,12.5211,-69.9683,Aruba Netherlands,"12.5211,-69.9683",4304
187,"Bonaire, Sint Eustatius and Saba",Netherlands,12.1784,-68.2385,"Bonaire, Sint Eustatius and Saba Netherlands","12.1784,-68.2385",150
188,Curacao,Netherlands,12.1696,-68.99,Curacao Netherlands,"12.1696,-68.99",715
189,Sint Maarten,Netherlands,18.0425,-63.0548,Sint Maarten Netherlands,"18.0425,-63.0548",749
190,,Netherlands,52.1326,5.2913, Netherlands,"52.1326,5.2913",220052
191,,New Zealand,-40.9006,174.886, New Zealand,"-40.9006,174.886",1886
192,,Nicaragua,12.865416,-85.207229, Nicaragua,"12.865416,-85.207229",5353
193,,Niger,17.607789,8.081666, Niger,"17.607789,8.081666",1209
194,,Nigeria,9.082,8.6753, Nigeria,"9.082,8.6753",61307
195,,North Macedonia,41.6086,21.7453, North Macedonia,"41.6086,21.7453",23201
196,,Norway,60.472,8.4689, Norway,"60.472,8.4689",16369
197,,Oman,21.512583,55.92325500000001, Oman,"21.512583,55.92325500000001",108296
198,,Pakistan,30.3753,69.3451, Pakistan,"30.3753,69.3451",323019
199,,Panama,8.538,-80.7821, Panama,"8.538,-80.7821",124107
200,,Papua New Guinea,-6.314993,143.95555, Papua New Guinea,"-6.314993,143.95555",581
201,,Paraguay,-23.4425,-58.4438, Paraguay,"-23.4425,-58.4438",54015
202,,Peru,-9.19,-75.0152, Peru,"-9.19,-75.0152",862417
203,,Philippines,12.879721,121.774017, Philippines,"12.879721,121.774017",354338
204,,Poland,51.9194,19.1451, Poland,"51.9194,19.1451",167230
205,,Portugal,39.3999,-8.2245, Portugal,"39.3999,-8.2245",98055
206,,Qatar,25.3548,51.1839, Qatar,"25.3548,51.1839",129227
207,,Romania,45.9432,24.9668, Romania,"45.9432,24.9668",176468
208,,Russia,61.52401,105.318756, Russia,"61.52401,105.318756",1376020
209,,Rwanda,-1.9403,29.8739, Rwanda,"-1.9403,29.8739",4971
210,,Saint Kitts and Nevis,17.357822,-62.782998, Saint Kitts and Nevis,"17.357822,-62.782998",19
211,,Saint Lucia,13.9094,-60.9789, Saint Lucia,"13.9094,-60.9789",33
212,,Saint Vincent and the Grenadines,12.9843,-61.2872, Saint Vincent and the Grenadines,"12.9843,-61.2872",67
213,,San Marino,43.9424,12.4578, San Marino,"43.9424,12.4578",759
214,,Sao Tome and Principe,0.1864,6.6131, Sao Tome and Principe,"0.1864,6.6131",932
215,,Saudi Arabia,23.885942,45.079162, Saudi Arabia,"23.885942,45.079162",341854
216,,Senegal,14.4974,-14.4524, Senegal,"14.4974,-14.4524",15392
217,,Serbia,44.0165,21.0059, Serbia,"44.0165,21.0059",35946
218,,Seychelles,-4.6796,55.492, Seychelles,"-4.6796,55.492",149
219,,Sierra Leone,8.460555000000001,-11.779889, Sierra Leone,"8.460555000000001,-11.779889",2327
220,,Singapore,1.2833,103.8333, Singapore,"1.2833,103.8333",57904
221,,Slovakia,48.669,19.699, Slovakia,"48.669,19.699",28268
222,,Slovenia,46.1512,14.9955, Slovenia,"46.1512,14.9955",12416
223,,Solomon Islands,-9.6457,160.1562, Solomon Islands,"-9.6457,160.1562",3
224,,Somalia,5.152149,46.199616, Somalia,"5.152149,46.199616",3864
225,,South Africa,-30.5595,22.9375, South Africa,"-30.5595,22.9375",702131
226,,South Sudan,6.877000000000002,31.307, South Sudan,"6.877000000000002,31.307",2817
227,,Spain,40.463667,-3.74922, Spain,"40.463667,-3.74922",936560
228,,Sri Lanka,7.873054,80.77179699999998, Sri Lanka,"7.873054,80.77179699999998",5475
229,,Sudan,12.8628,30.2176, Sudan,"12.8628,30.2176",13691
230,,Suriname,3.9193,-56.0278, Suriname,"3.9193,-56.0278",5123
231,,Sweden,60.128161,18.643501, Sweden,"60.128161,18.643501",103200
232,,Switzerland,46.8182,8.2275, Switzerland,"46.8182,8.2275",74422
233,,Syria,34.802075,38.99681500000001, Syria,"34.802075,38.99681500000001",5033
234,,Taiwan*,23.7,121.0, Taiwan*,"23.7,121.0",535
235,,Tajikistan,38.861,71.2761, Tajikistan,"38.861,71.2761",10455
236,,Tanzania,-6.369028,34.888822, Tanzania,"-6.369028,34.888822",509
237,,Thailand,15.870032,100.992541, Thailand,"15.870032,100.992541",3686
238,,Timor-Leste,-8.874217,125.727539, Timor-Leste,"-8.874217,125.727539",29
239,,Togo,8.6195,0.8248, Togo,"8.6195,0.8248",2049
240,,Trinidad and Tobago,10.6918,-61.2225, Trinidad and Tobago,"10.6918,-61.2225",5281
241,,Tunisia,33.886917,9.537499, Tunisia,"33.886917,9.537499",40542
242,,Turkey,38.9637,35.2433, Turkey,"38.9637,35.2433",345678
243,,US,40.0,-100.0, US,"40.0,-100.0",8106384
244,,Uganda,1.373333,32.290275, Uganda,"1.373333,32.290275",10455
245,,Ukraine,48.3794,31.1656, Ukraine,"48.3794,31.1656",301856
246,,United Arab Emirates,23.424076,53.847818, United Arab Emirates,"23.424076,53.847818",114387
247,Anguilla,United Kingdom,18.2206,-63.0686,Anguilla United Kingdom,"18.2206,-63.0686",3
248,Bermuda,United Kingdom,32.3078,-64.7505,Bermuda United Kingdom,"32.3078,-64.7505",185
249,British Virgin Islands,United Kingdom,18.4207,-64.64,British Virgin Islands United Kingdom,"18.4207,-64.64",71
250,Cayman Islands,United Kingdom,19.3133,-81.2546,Cayman Islands United Kingdom,"19.3133,-81.2546",233
251,Channel Islands,United Kingdom,49.3723,-2.3644,Channel Islands United Kingdom,"49.3723,-2.3644",748
252,Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,Falkland Islands (Malvinas) United Kingdom,"-51.7963,-59.5236",13
253,Gibraltar,United Kingdom,36.1408,-5.3536,Gibraltar United Kingdom,"36.1408,-5.3536",558
254,Isle of Man,United Kingdom,54.2361,-4.5481,Isle of Man United Kingdom,"54.2361,-4.5481",348
255,Montserrat,United Kingdom,16.742498,-62.187366,Montserrat United Kingdom,"16.742498,-62.187366",13
256,Turks and Caicos Islands,United Kingdom,21.69400000000001,-71.7979,Turks and Caicos Islands United Kingdom,"21.69400000000001,-71.7979",698
257,,United Kingdom,55.3781,-3.436, United Kingdom,"55.3781,-3.436",705428
258,,Uruguay,-32.5228,-55.7658, Uruguay,"-32.5228,-55.7658",2501
259,,Uzbekistan,41.377491,64.585262, Uzbekistan,"41.377491,64.585262",62809
260,,Venezuela,6.4238,-66.5897, Venezuela,"6.4238,-66.5897",86289
261,,Vietnam,14.058324,108.277199, Vietnam,"14.058324,108.277199",1126
262,,West Bank and Gaza,31.9522,35.2332, West Bank and Gaza,"31.9522,35.2332",46746
263,,Western Sahara,24.2155,-12.8858, Western Sahara,"24.2155,-12.8858",10
264,,Yemen,15.552727,48.516388, Yemen,"15.552727,48.516388",2055
265,,Zambia,-13.133897,27.849332, Zambia,"-13.133897,27.849332",15789
266,,Zimbabwe,-19.015438,29.154857, Zimbabwe,"-19.015438,29.154857",8110
